,param_index,param,threshold,train_pr_rec_auc,train_rec_at_fixed_pr,test_pr_rec_auc,test_rec_at_fixed_pr
0,-1,"{'colsample_bylevel': 1, 'colsample_bynode': 1, 'colsample_bytree': 1, 'gamma': 0, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 100, 'reg_alpha': 0, 'reg_lambda': 1, 'scale_pos_weight': 1}",0.45599886775016785,0.9722654141552362,0.8933333333333333,0.9722654141552362,0.8933333333333333
0,0,"{'n_estimators': 100, 'learning_rate': 0.1, 'max_depth': 1, 'subsample': 1.0, 'gamma': 0.25, 'colsample_bytree': 0.5, 'reg_alpha': 0.5, 'reg_lambda': 0.5, 'scale_pos_weight': 50}",0.9729151725769043,0.9574455127188723,0.8377777777777777,0.9574455127188723,0.8377777777777777
0,1,"{'n_estimators': 100, 'learning_rate': 0.1, 'max_depth': 8, 'subsample': 0.7, 'gamma': 0.25, 'colsample_bytree': 0.5, 'reg_alpha': 1.0, 'reg_lambda': 0.5, 'scale_pos_weight': 25}",0.5086859464645386,0.9897665403414551,0.9844444444444445,0.9897665403414551,0.9844444444444445
0,2,"{'n_estimators': 100, 'learning_rate': 0.1, 'max_depth': 3, 'subsample': 1.0, 'gamma': 0.25, 'colsample_bytree': 1.0, 'reg_alpha': 0.0, 'reg_lambda': 0.1, 'scale_pos_weight': 50}",0.9639198780059814,0.9685621237142646,0.8888888888888888,0.9685621237142646,0.8888888888888888
0,3,"{'n_estimators': 100, 'learning_rate': 0.1, 'max_depth': 8, 'subsample': 0.7, 'gamma': 0.05, 'colsample_bytree': 0.75, 'reg_alpha': 0.0, 'reg_lambda': 1.0, 'scale_pos_weight': 1}",0.1322678029537201,0.9931053559095953,0.9822222222222222,0.9931053559095953,0.9822222222222222
0,-1,"{'colsample_bylevel': 1, 'colsample_bynode': 1, 'colsample_bytree': 1, 'gamma': 0, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 100, 'reg_alpha': 0, 'reg_lambda': 1, 'scale_pos_weight': 1}",0.628801703453064,0.9714027082049314,0.8752783964365256,0.9714027082049314,0.8752783964365256
0,0,"{'n_estimators': 100, 'learning_rate': 0.1, 'max_depth': 1, 'subsample': 1.0, 'gamma': 0.25, 'colsample_bytree': 0.5, 'reg_alpha': 0.5, 'reg_lambda': 0.5, 'scale_pos_weight': 50}",0.9805406928062439,0.9606248734626016,0.8195991091314031,0.9606248734626016,0.8195991091314031
0,1,"{'n_estimators': 100, 'learning_rate': 0.1, 'max_depth': 8, 'subsample': 0.7, 'gamma': 0.25, 'colsample_bytree': 0.5, 'reg_alpha': 1.0, 'reg_lambda': 0.5, 'scale_pos_weight': 25}",0.5391063094139099,0.9904098619847809,0.9888641425389755,0.9904098619847809,0.9888641425389755
0,2,"{'n_estimators': 100, 'learning_rate': 0.1, 'max_depth': 3, 'subsample': 1.0, 'gamma': 0.25, 'colsample_bytree': 1.0, 'reg_alpha': 0.0, 'reg_lambda': 0.1, 'scale_pos_weight': 50}",0.9811772108078003,0.9737787459951842,0.8730512249443207,0.9737787459951842,0.8730512249443207
0,3,"{'n_estimators': 100, 'learning_rate': 0.1, 'max_depth': 8, 'subsample': 0.7, 'gamma': 0.05, 'colsample_bytree': 0.75, 'reg_alpha': 0.0, 'reg_lambda': 1.0, 'scale_pos_weight': 1}",0.1977512538433075,0.9935392505930816,0.9844097995545658,0.9935392505930816,0.9844097995545658
0,-1,"{'colsample_bylevel': 1, 'colsample_bynode': 1, 'colsample_bytree': 1, 'gamma': 0, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 100, 'reg_alpha': 0, 'reg_lambda': 1, 'scale_pos_weight': 1}",0.5579649806022644,0.9723736825708127,0.8755555555555555,0.9723736825708127,0.8755555555555555
0,0,"{'n_estimators': 100, 'learning_rate': 0.1, 'max_depth': 1, 'subsample': 1.0, 'gamma': 0.25, 'colsample_bytree': 0.5, 'reg_alpha': 0.5, 'reg_lambda': 0.5, 'scale_pos_weight': 50}",0.9843834638595581,0.9535031721933855,0.7444444444444445,0.9535031721933855,0.7444444444444445
0,1,"{'n_estimators': 100, 'learning_rate': 0.1, 'max_depth': 8, 'subsample': 0.7, 'gamma': 0.25, 'colsample_bytree': 0.5, 'reg_alpha': 1.0, 'reg_lambda': 0.5, 'scale_pos_weight': 25}",0.6495225429534912,0.9868491074911625,0.9822222222222222,0.9868491074911625,0.9822222222222222
