,param_index,param,threshold,train_pr_rec_auc,train_rec_at_fixed_pr,test_pr_rec_auc,test_rec_at_fixed_pr
0,-1,"{'colsample_bylevel': 1, 'colsample_bynode': 1, 'colsample_bytree': 1, 'gamma': 0, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 100, 'reg_alpha': 0, 'reg_lambda': 1, 'scale_pos_weight': 1}",0.5504771,0.986918337724709,0.9420935412026726,0.986918337724709,0.9420935412026726
0,0,"{'n_estimators': 100, 'learning_rate': 0.1, 'max_depth': 6, 'subsample': 0.5, 'gamma': 0.25, 'colsample_bytree': 0.75, 'reg_alpha': 0.5, 'reg_lambda': 1.0, 'scale_pos_weight': 10}",0.5056343,0.9937110821456532,0.9933184855233853,0.9937110821456532,0.9933184855233853
0,1,"{'n_estimators': 100, 'learning_rate': 0.1, 'max_depth': 1, 'subsample': 1.0, 'gamma': 0.0, 'colsample_bytree': 0.5, 'reg_alpha': 1.0, 'reg_lambda': 0.1, 'scale_pos_weight': 50}",0.99089044,0.9501553958717635,0.7216035634743875,0.9501553958717635,0.7216035634743875
0,2,"{'n_estimators': 100, 'learning_rate': 0.1, 'max_depth': 4, 'subsample': 1.0, 'gamma': 0.05, 'colsample_bytree': 0.5, 'reg_alpha': 0.0, 'reg_lambda': 0.0, 'scale_pos_weight': 10}",0.693036,0.987458274698561,0.9844097995545658,0.987458274698561,0.9844097995545658
0,3,"{'n_estimators': 100, 'learning_rate': 0.1, 'max_depth': 3, 'subsample': 0.7, 'gamma': 0.0, 'colsample_bytree': 0.5, 'reg_alpha': 1.0, 'reg_lambda': 0.1, 'scale_pos_weight': 50}",0.9822869,0.9717436707830593,0.8819599109131403,0.9717436707830593,0.8819599109131403
0,-1,"{'colsample_bylevel': 1, 'colsample_bynode': 1, 'colsample_bytree': 1, 'gamma': 0, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 100, 'reg_alpha': 0, 'reg_lambda': 1, 'scale_pos_weight': 1}",0.32610583,0.9785588155697885,0.9844097995545658,0.9785588155697885,0.9844097995545658
0,0,"{'n_estimators': 100, 'learning_rate': 0.1, 'max_depth': 6, 'subsample': 0.5, 'gamma': 0.25, 'colsample_bytree': 0.75, 'reg_alpha': 0.5, 'reg_lambda': 1.0, 'scale_pos_weight': 10}",0.5455632,0.9950968963962382,0.9933184855233853,0.9950968963962382,0.9933184855233853
0,1,"{'n_estimators': 100, 'learning_rate': 0.1, 'max_depth': 1, 'subsample': 1.0, 'gamma': 0.0, 'colsample_bytree': 0.5, 'reg_alpha': 1.0, 'reg_lambda': 0.1, 'scale_pos_weight': 50}",0.97802585,0.9717538787458836,0.8819599109131403,0.9717538787458836,0.8819599109131403
0,2,"{'n_estimators': 100, 'learning_rate': 0.1, 'max_depth': 4, 'subsample': 1.0, 'gamma': 0.05, 'colsample_bytree': 0.5, 'reg_alpha': 0.0, 'reg_lambda': 0.0, 'scale_pos_weight': 10}",0.71275413,0.9877754020982463,0.9933184855233853,0.9877754020982463,0.9933184855233853
0,3,"{'n_estimators': 100, 'learning_rate': 0.1, 'max_depth': 3, 'subsample': 0.7, 'gamma': 0.0, 'colsample_bytree': 0.5, 'reg_alpha': 1.0, 'reg_lambda': 0.1, 'scale_pos_weight': 50}",0.95585984,0.9766218050156191,0.9599109131403119,0.9766218050156191,0.9599109131403119
